Timestamp,Campus Energy Centre Boiler B-2 Efficiency (%),Campus Energy Centre Boiler B-2 Energy (MWh),Campus Energy Centre Boiler B-2 Entering Water Temp (K),Campus Energy Centre Boiler B-2 Exhaust CO (ppm),Campus Energy Centre Boiler B-2 Exhaust CO2 (%),Campus Energy Centre Boiler B-2 Exhaust NOx (ppm),Campus Energy Centre Boiler B-2 Exhaust O2 (%),Campus Energy Centre Boiler B-2 Exhaust Temp (K),Campus Energy Centre Boiler B-2 Firing Rate (%),Campus Energy Centre Boiler B-2 Gas Flow Rate (m³/h),Campus Energy Centre Boiler B-2 Gas Pressure (kPa),Campus Energy Centre Boiler B-2 Leaving Water Temp (K),Campus Energy Centre Boiler B-2 Leaving Water Temp Setpoint (K),Campus Energy Centre Boiler B-2 Power (MW),Campus Energy Centre Boiler B-2 Water Flow Rate (L/s),UBC Humidity (%RH),UBC Temp (K)
2021-05-23 05:00:00+00:00,86.80000305175781,39.3125,356.31252465354066,4.970277777777777,10.15430553515752,23.81138888888889,2.777583349049092,380.6422222222222,33.21805555555555,796.0521097988551,136.43662643432617,367.1883333333333,368.15,8.176388983461592,221.1255863740709,82.5,285.7500003814697
2021-05-23 06:00:00+00:00,86.87500190734863,9.1875,356.60850734286834,3.168055555555556,10.076638907061682,23.737777777777776,2.987416665355364,379.6430555555555,32.69361111111111,794.6615860493978,136.55946731567383,367.3227777777778,368.15,7.927916805611716,220.7393300501506,83.75,285.54999985694883
2021-05-23 07:00:00+00:00,86.9000015258789,0.0,356.68064343346487,3.427222222222221,9.95044460746977,23.981944444444444,2.915611116555002,380.30555555555554,33.5075,794.6126772562661,136.39178466796875,367.4594444444444,368.15,8.271111206478542,220.96001044379344,85.25,285.4749998092651
2021-05-23 08:00:00+00:00,86.9000015258789,19.3125,357.949848007626,1.915,10.31336105744044,21.573888888888888,2.739611126052009,377.4,30.14388888888889,796.9765524291993,136.21300888061523,367.4,368.15,6.915527911583582,221.38237601386183,83.25,286.1750000953674
2021-05-23 09:00:00+00:00,86.75,0.0,358.9686378966437,0.0,9.994444529745314,21.422222222222224,3.313833288020558,374.5136111111111,27.71111111111111,800.718114912245,136.5689353942871,367.9,368.15,6.421888927883573,222.4216989941068,83.25,286.4
2021-05-23 10:00:00+00:00,86.82499694824219,0.0,359.266184832255,0.0,9.930000092718336,22.15777777777777,3.069972171783447,374.3852777777778,25.993888888888893,799.623514031304,136.27508544921875,367.9238888888889,368.15,5.7956112139754845,222.11764355977385,83.0,286.32500019073484
2021-05-23 11:00:00+00:00,87.04999923706055,16.5,360.44281005011663,0.0,9.787277853753832,26.685277777777777,3.204972208440304,374.12777777777774,23.1525,800.5013743252224,136.28532791137695,367.9216666666666,368.15,4.947666732072832,222.36149352603493,82.75,286.77500023841856
2021-05-23 12:00:00+00:00,87.3499984741211,0.0,360.9603643798828,0.0,9.447361084885069,26.86972222222222,3.7582222584221103,370.38055555555553,19.864444444444445,802.5648144361705,136.28433227539062,367.465,368.15,3.93136114762889,222.934671312968,79.5,287.65
2021-05-23 13:00:00+00:00,87.19999694824219,0.0,360.8409131304423,0.0,9.87708334048589,25.4075,3.3124444560872184,369.775,20.854166666666668,801.4099741787379,136.57508850097656,367.9,368.15,3.927555628087785,222.6138823318482,79.75,287.7250000476837
2021-05-23 14:00:00+00:00,87.19999694824219,11.296875,359.7717764981588,0.0,10.146944263776144,20.89833333333333,3.439833292033937,372.1005555555555,23.89055555555556,801.9696902635361,136.36637496948242,367.86055555555555,368.15,4.984166693819893,222.76935906728116,82.5,287.3500002861023
2021-05-23 15:00:00+00:00,87.02499961853027,5.796875,358.2962016487121,0.5972222222222222,9.964083094596862,20.696944444444448,2.9403888942466843,377.90999999999997,29.503888888888888,797.1916535780163,136.35333251953125,367.34999999999997,368.15,6.856972288158205,221.442126235962,86.75,286.45000019073484
2021-05-23 16:00:00+00:00,87.19999694824219,0.0,358.7374637942844,0.0,10.098638795481788,21.518611111111117,2.7489444300863477,377.02194444444444,29.031666666666663,798.1214758131238,136.11172485351562,367.4,368.15,6.450972364213733,221.700410753886,85.25,286.7500001430511
2021-05-23 17:00:00+00:00,87.19999694824219,17.40625,359.66298203574286,0.0,9.859749935732946,21.546388888888888,3.315166682534748,373.15,25.158055555555556,800.1632957119411,136.2581672668457,367.9,368.15,5.5006945543819,222.4203566953872,86.5,286.8500000476837
2021-05-23 18:00:00+00:00,87.19999694824219,0.0,360.6457139608595,0.0,9.807055570549435,25.30583333333333,3.297388866080178,371.4722222222222,21.901111111111117,801.5208013746471,136.44558334350586,367.62833333333333,368.15,4.331833398607043,222.64466781192365,82.5,287.65
2021-05-23 19:00:00+00:00,87.25,0.0,360.36134196175465,0.0,9.455833205911848,19.90111111111111,3.680527827938399,371.31666666666666,21.86861111111111,800.0068057420518,136.47955703735352,367.3066666666667,368.15,4.318500089777841,222.2241132354737,81.0,287.92499985694883
2021-05-23 20:00:00+00:00,87.10000038146973,12.0,359.5682612334357,0.0,9.87116669840283,21.46527777777778,3.311583324737019,373.4861111111111,25.17972222222222,800.1336838785807,136.23107147216797,367.79055555555556,368.15,5.481666751835082,222.2607461251154,83.5,287.24999990463255
2021-05-23 21:00:00+00:00,87.0999984741211,0.0,359.53656446668833,0.0,9.621999915705787,22.48638888888889,3.2178610559304555,373.875,25.01416666666667,800.6584274461533,136.52984619140625,367.65,368.15,5.201583401097191,222.4435453287761,86.0,286.3500000476837
2021-05-23 22:00:00+00:00,87.0999984741211,0.0,359.1634136263529,0.0,9.535750171078575,20.439722222222223,3.621833344896634,374.2736111111111,27.16027777777778,801.0032738579642,136.48956680297852,367.64611111111105,368.15,5.859500142070982,222.5009096950956,86.75,285.9750000476837
2021-05-23 23:00:00+00:00,86.9000015258789,16.390625,358.0294029341803,0.5813888888888888,10.077277753618027,28.23916666666667,3.055055551032225,377.16805555555555,29.53805555555555,800.2523083665637,136.64309310913086,367.69527777777773,368.15,6.661583419773313,222.29230859120693,86.5,285.9
2021-05-24 00:00:00+00:00,86.97500038146973,0.0,358.4298127237955,1.2472222222222222,9.831416538556418,24.568611111111103,3.1811111209127643,376.4611111111111,28.595,798.5254339260524,136.5128402709961,367.20444444444445,368.15,6.4905556962225175,221.81262105305996,87.0,285.4250000953674
2021-05-24 01:00:00+00:00,86.9000015258789,16.5,357.21085448159107,2.559166666666667,10.210166688495212,27.187499999999996,2.880194451676475,379.33861111111105,31.551111111111112,798.371022830539,136.33930206298828,367.72305555555556,368.15,7.711694603098763,221.76972889794249,89.25,284.7749997615814
2021-05-24 02:00:00+00:00,86.97500228881836,0.0,357.56817401885985,2.1555555555555554,10.148527915742662,23.436666666666664,3.049194446934594,378.3652777777778,31.04916666666666,799.9380635579425,136.73037719726562,367.3947222222222,368.15,7.292944447067049,222.1820732922025,90.5,284.24999990463255
2021-05-24 03:00:00+00:00,86.875,0.0,357.2342464277479,1.853611111111111,10.099472172790104,21.041944444444443,3.2082777827646995,379.7047222222222,32.50361111111112,796.4117333306207,136.6039276123047,367.635,368.15,7.617361158662374,221.21437037150065,91.25,283.9750000476837
2021-05-24 04:00:00+00:00,87.07499885559082,0.0,357.0804877323574,3.098611111111111,10.118694375885855,22.07388888888889,3.014250000980166,379.8277777777778,32.05083333333333,795.4591541035969,136.71366119384766,367.57,368.15,7.691305649942822,220.96087661319316,91.75,283.775
2021-05-24 05:00:00+00:00,86.7750015258789,28.90625,356.26376892725625,3.349166666666666,10.00897232002682,23.311111111111103,3.116777791049746,380.16527777777776,33.83333333333332,790.6484413146972,136.57461166381836,367.53277777777777,368.15,8.194972252845764,219.62456776513,93.0,283.4749998092651
