Timestamp,Campus Energy Centre Boiler B-2 Efficiency (%),Campus Energy Centre Boiler B-2 Energy (MWh),Campus Energy Centre Boiler B-2 Entering Water Temp (°C),Campus Energy Centre Boiler B-2 Exhaust CO (ppm),Campus Energy Centre Boiler B-2 Exhaust CO2 (%),Campus Energy Centre Boiler B-2 Exhaust NOx (ppm),Campus Energy Centre Boiler B-2 Exhaust O2 (%),Campus Energy Centre Boiler B-2 Exhaust Temp (°C),Campus Energy Centre Boiler B-2 Firing Rate (%),Campus Energy Centre Boiler B-2 Gas Flow Rate (m³/h),Campus Energy Centre Boiler B-2 Gas Pressure (kPa),Campus Energy Centre Boiler B-2 Leaving Water Temp (°C),Campus Energy Centre Boiler B-2 Leaving Water Temp Setpoint (°C),Campus Energy Centre Boiler B-2 Power (MW),Campus Energy Centre Boiler B-2 Water Flow Rate (L/s),UBC Humidity (%RH),UBC Temp (°C)
2021-06-17 10:00:00+00:00,87.19999694824219,0.0,26.549999237060547,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,136.80671310424805,50.0,95.0,0.0,0.0015312499599531,74.5,17.100000381469727
2021-06-17 11:00:00+00:00,87.19999694824219,0.0,26.549999237060547,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,136.81358337402344,50.0,95.0,0.0,0.0015312499599531,75.25,17.875
2021-06-17 12:00:00+00:00,87.19999694824219,0.0,26.549999237060547,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,136.77276229858398,50.0,95.0,0.0,0.0015312499599531,74.75,18.875
2021-06-17 13:00:00+00:00,87.19999694824219,0.0,26.49002456665039,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,136.76493072509766,50.0,95.0,0.0,0.0015312499599531,66.75,19.800000190734863
2021-06-17 14:00:00+00:00,87.19999694824219,0.0,26.49002456665039,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,136.7563934326172,50.0,95.0,0.0,0.0015312499599531,55.5,21.800000190734863
2021-06-17 15:00:00+00:00,87.19999694824219,0.0,26.49002456665039,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,136.79954147338867,49.75,95.0,0.0,0.0015312499599531,51.5,21.90000009536743
2021-06-17 16:00:00+00:00,87.19999694824219,0.0,26.49002456665039,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,137.16502380371094,49.0,95.0,0.0,0.0015312499599531,49.75,21.84999990463257
2021-06-17 17:00:00+00:00,87.19999694824219,0.0,26.49002456665039,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,137.07943725585938,49.0,95.0,0.0,0.0015312499599531,45.75,22.975000381469727
2021-06-17 18:00:00+00:00,87.19999694824219,0.0,26.49002456665039,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,137.2216835021973,49.0,95.0,0.0,0.0015312499599531,42.0,22.600000381469727
2021-06-17 19:00:00+00:00,87.19999694824219,0.0,26.49002456665039,0.0,9.699999809265137,26.0,3.5999999046325684,98.0,0.0,0.0055124997161328,137.40743255615234,49.0,95.0,0.0,0.0015312499599531,44.25,22.07500028610229
